年度,樹木ID,緯度,経度,施設区分,種類,備考,所在地
2025,BGX-3642,35.7081354165655,139.642646833307,街路樹,トウカエデ,,高円寺北4-28
2025,XNH-0801,35.7081131665651,139.642755083307,街路樹,トウカエデ,,高円寺北4-28
2025,SNC-8143,35.7080787221201,139.642927722193,街路樹,トウカエデ,,高円寺北4-28
2025,HUT-5615,35.708058805453,139.643026333303,街路樹,トウカエデ,,高円寺北4-28
2025,KHX-8431,35.7080402221194,139.643118138858,街路樹,トウカエデ,,高円寺北4-28
2025,FUS-0844,35.708023749897,139.643199722189,街路樹,トウカエデ,,高円寺北4-28
2025,VUU-0366,35.7080061943411,139.643288388855,街路樹,トウカエデ,,高円寺北4-28
2025,LVL-1298,35.7079895832297,139.64336869441,街路樹,トウカエデ,,高円寺北4-28
2025,AJE-7409,35.707972388785,139.643454027742,街路樹,トウカエデ,,高円寺北4-28
2025,GHN-4244,35.7079558332292,139.643538444408,街路樹,トウカエデ,,高円寺北4-28
2025,LHH-9756,35.7079321665622,139.643655361073,街路樹,トウカエデ,,高円寺北4-29
2025,YHK-9629,35.7079168332287,139.643729027739,街路樹,トウカエデ,,高円寺北4-29
2025,EDZ-0268,35.7079021665618,139.643804305516,街路樹,トウカエデ,,高円寺北4-29
2025,DEC-0224,35.7078872498949,139.64387699996,街路樹,トウカエデ,,高円寺北4-29
2025,RZY-8295,35.7078718887835,139.643952305515,街路樹,トウカエデ,,高円寺北4-29
2025,SDB-3365,35.7077908610046,139.644351888843,街路樹,トウカエデ,,高円寺北4-29
2025,AZK-3146,35.70777716656,139.644423138843,街路樹,トウカエデ,,高円寺北4-29
2025,YFC-6015,35.7077182776704,139.644712722173,街路樹,トウカエデ,,高円寺北4-30
2025,URR-7322,35.7076943332256,139.64483261106,街路樹,トウカエデ,,高円寺北4-30
2025,BFY-2486,35.707639333225,139.645094611057,街路樹,トウカエデ,,高円寺北4-31
2025,WEK-6744,35.7076214165581,139.6452018055,街路樹,トウカエデ,,高円寺北4-31
2025,FXI-1966,35.7075990554468,139.645343249943,街路樹,トウカエデ,,高円寺北4-31
2025,EBE-2224,35.7075846665578,139.645424499942,街路樹,トウカエデ,,高円寺北4-31
2025,IDP-8295,35.7075725276687,139.645506277719,街路樹,トウカエデ,,高円寺北4-31
2025,UDI-7964,35.7075591665575,139.645590333273,街路樹,トウカエデ,,高円寺北4-31
2025,ZSG-2034,35.7126364166285,139.635011916714,区管理外樹木,ケヤキ,,阿佐谷北4-20
2025,VUI-5765,35.7126924444049,139.635005305602,区管理外樹木,ケヤキ,,阿佐谷北4-20
2025,ILG-4482,35.7127533332922,139.634998111157,区管理外樹木,ケヤキ,,阿佐谷北4-20
2025,CWG-9198,35.707932527673,139.635591666725,街路樹,ヒマラヤスギ,,阿佐谷北1-32
2025,WIG-7299,35.7082272499024,139.635492277837,街路樹,ケヤキ,,阿佐谷北1-32
2025,IOQ-1842,35.7077740832267,139.644635972173,街路樹,ハナミズキ,,高円寺北4-30
2025,FAO-6977,35.707898888784,139.644668055506,街路樹,ハナミズキ,,高円寺北4-30
2025,WRF-4615,35.7082917776783,139.644772444393,街路樹,ハナミズキ,,高円寺北4-30
2025,RGN-7265,35.7084845832365,139.644823861059,街路樹,ハナミズキ,,高円寺北4-30
2025,TEI-7088,35.7086749443502,139.644873305503,街路樹,ハナミズキ,,高円寺北4-30
2025,OYH-2285,35.7087481665734,139.644893333279,街路樹,ハナミズキ,,高円寺北4-30
2025,TZT-6325,35.7088428887969,139.644919777723,街路樹,ハナミズキ,,高円寺北4-30
2025,HVW-4757,35.7089330554647,139.644942749946,街路樹,ハナミズキ,,高円寺北4-30
2025,UHO-7669,35.7090611387997,139.644977638833,街路樹,ハナミズキ,,高円寺北4-30
2025,OBX-5157,35.7092713888026,139.644965499944,街路樹,カイズカイブキ,,高円寺北4-34
2025,MLU-0817,35.7093670554705,139.644991722166,街路樹,カイズカイブキ,,高円寺北4-34
2025,LUP-8763,35.7094375554714,139.645010861054,街路樹,カイズカイブキ,,高円寺北4-34
2025,NSH-6215,35.7095248054726,139.645032805499,街路樹,カイズカイブキ,,高円寺北4-34
2025,SUV-1925,35.6855664164602,139.63535402786,街路樹,イチョウ,,成田西1-5
2025,WQK-6113,35.6903258332676,139.646151694435,区管理外樹木,ケヤキ,,松ノ木2-32
2025,NSX-0225,35.6903373610473,139.646303722212,区管理外樹木,ケヤキ,,堀ノ内2-32
2025,TGY-0911,35.6905296388296,139.647038027769,区管理外樹木,マツ,,堀ノ内2-32
2025,IMY-2279,35.696424305355,139.658111638803,街路樹,ツバキ,,和田3-49
2025,JHF-3526,35.6964313331331,139.658104666581,街路樹,ハナミズキ,,和田3-49
2025,ELD-2658,35.6964405275777,139.658103166581,街路樹,サザンカ,,和田3-49
2025,PUE-3234,35.6964499164669,139.658099805469,街路樹,ツバキ,,和田3-49
2025,UIJ-6130,35.6964591386893,139.658095499914,街路樹,サザンカ,,和田3-49
2025,LRP-6961,35.6964696109118,139.658091444359,街路樹,ツバキ,,和田3-49
2025,JTH-3213,35.6964795831343,139.658083944358,街路樹,ハナミズキ,,和田3-49
2025,MLU-1294,35.6964910553568,139.658083499914,街路樹,サザンカ,,和田3-49
2025,VUP-2695,35.6964997498014,139.658079944359,街路樹,ツバキ,,和田3-49
2025,MHM-7464,35.696510305358,139.658021777693,街路樹,ハナミズキ,,和田3-55
2025,HGT-4163,35.6965327220254,139.657990861027,街路樹,ハナミズキ,,和田3-55
2025,FIW-0548,35.696560749804,139.657972277694,街路樹,サザンカ,,和田3-55
2025,MSR-2445,35.6965732498043,139.657967999917,街路樹,ハナミズキ,,和田3-55
2025,BWU-1658,35.6965817498046,139.657964555473,街路樹,ツバキ,,和田3-55
2025,KQA-5415,35.6966034164717,139.657953944362,街路樹,ツバキ,,和田3-55
2025,MHS-5677,35.6966120831386,139.657950361028,街路樹,ハナミズキ,,和田3-55
2025,QEU-6150,35.6966308053613,139.657941888807,街路樹,サザンカ,,和田3-55
2025,UYO-2395,35.6966750275845,139.657938583251,街路樹,サザンカ,,和田3-55
2025,IOF-3533,35.6966893053627,139.657926305473,街路樹,ツバキ,,和田3-55
2025,RMW-8018,35.6967001386963,139.657918916584,街路樹,ハナミズキ,,和田3-55
2025,IRI-4126,35.6967113609189,139.657913777696,街路樹,サザンカ,,和田3-55
2025,CHM-3504,35.6967228331414,139.657906388808,街路樹,ツバキ,,和田3-55
2025,RUT-8025,35.6967375831418,139.657897638807,街路樹,ハナミズキ,,和田3-55
2025,PUD-5854,35.6967471942531,139.657893333252,街路樹,サザンカ,,和田3-55
2025,TBL-6267,35.6967662220313,139.657886777697,街路樹,ツバキ,,和田3-55
2025,DBC-0914,35.6967796942539,139.657884166586,街路樹,ハナミズキ,,和田3-55
2025,ZHB-0741,35.6967917498097,139.657881055475,街路樹,サザンカ,,和田3-55
2025,ELE-2121,35.6968024720322,139.657877833253,街路樹,ツバキ,,和田3-55
